"Replication","Sample_Size","Parameter","Estimate","Posterior_SD","Lower_95","Upper_95","Rhat","Rhat_Upper","ESS"
51,500,"beta0_y",2.00583316700263,0.0588247009624182,1.89134638815909,2.12367639310079,1.00291968034801,1.00946215012469,1100.52583468225
51,500,"beta1_y",0.492788633882764,0.0298059998165771,0.434112606405292,0.550444014798066,1.00196493188553,1.00664181806186,196.014866705243
51,500,"beta2_y",1.08009028636577,0.0591789062316763,0.964947856992312,1.19691799645211,1.00365175803316,1.0124405909537,1106.07766040334
51,500,"sd_b0",1.05597868014069,0.0493312753800673,0.963081155384572,1.15579449193589,1.00024983505991,1.00089074427814,8059.57688255411
51,500,"sd_b1",0.619749053300393,0.0210368097226282,0.580186798057967,0.66279892648193,1.00012221028457,1.00048799680632,20042.7101178389
51,500,"rho",0.306441186229831,0.0561228406514396,0.195612513516886,0.41361528678656,1.00061575114656,1.00239400516406,8656.50426182934
51,500,"sigma_y",0.991730627940264,0.0128081310804925,0.966937594733783,1.01740338358915,1.0003850401453,1.00131808620008,17132.7305627815
52,500,"beta0_y",2.01042973421833,0.0555886477116977,1.90246302527731,2.12129136206825,1.00367881635756,1.01314190031651,1289.23792453962
52,500,"beta1_y",0.482026128337212,0.0289477558437172,0.429683997966172,0.542821934590061,1.01213660046284,1.02733075617512,227.302514343396
52,500,"beta2_y",1.07939597644007,0.0558775533202054,0.96822243918618,1.18902811056142,1.00202258213735,1.00718098640146,1328.88542249793
52,500,"sd_b0",0.982148094422999,0.0498583396515541,0.8865486868845,1.08278742314957,1.00032775407643,1.00131786896412,6611.95993570412
52,500,"sd_b1",0.57058704494904,0.0196718619978855,0.533202154416547,0.610527281424812,1.00006601941304,1.00007308052854,19764.492429922
52,500,"rho",0.25094731841719,0.0588686692275898,0.133930418671771,0.365486674285249,1.00014789878903,1.00041009148199,8252.09122870797
