"Parameter","Estimate","Posterior_SD","Lower95","Upper95","Rhat","ESS","Replicate","N","N_long","N12","N13","N23","Max_Rhat","Min_ESS","Fit_Status"
"sigma_b1",0.573521188170475,0.0239994794621293,0.528553343255615,0.622547628983346,1.0005930285229,8089.62857433372,8,500,2302,230,163,121,1.01974317596593,110.324638621081,"success"
"rho",0.470651809270413,0.072439726882417,0.324006574202582,0.605564722426522,1.00127745531248,1746.09747632549,8,500,2302,230,163,121,1.01974317596593,110.324638621081,"success"
"sigma_y",0.987041793408655,0.0176412788593557,0.953261096234101,1.02218056814962,1.0003675156473,12290.9266585834,8,500,2302,230,163,121,1.01974317596593,110.324638621081,"success"
"lambda012",0.076642851653277,0.00583964295355777,0.0656547580791861,0.0884293755948154,1.00001051772592,15220.8019667943,8,500,2302,230,163,121,1.01974317596593,110.324638621081,"success"
"lambda013",0.0429318191837987,0.00471215101687156,0.034130789845314,0.0525882962416084,1.00003420451029,11670.5268077065,8,500,2302,230,163,121,1.01974317596593,110.324638621081,"success"
"lambda023",0.104186290839447,0.0117344999867925,0.0821799596734241,0.128166960526756,1.0001662260051,10546.576023951,8,500,2302,230,163,121,1.01974317596593,110.324638621081,"success"
"gamma12",-0.421001359460752,0.0741514046570611,-0.566560875029095,-0.275907795584283,1.0001604346277,13326.9753398428,8,500,2302,230,163,121,1.01974317596593,110.324638621081,"success"
"gamma13",0.902722947487428,0.098368267825872,0.713943474483483,1.10096629906619,0.999994994487459,7887.53501374647,8,500,2302,230,163,121,1.01974317596593,110.324638621081,"success"
"gamma23",0.668457045846119,0.117637272310939,0.444527203805639,0.906051849903209,1.00018746602361,9599.20322129737,8,500,2302,230,163,121,1.01974317596593,110.324638621081,"success"
"alpha0_12",0.460891982555549,0.121004982700283,0.232680465884367,0.708001180384903,0.999999832791347,4743.17096639312,8,500,2302,230,163,121,1.01974317596593,110.324638621081,"success"
