"N","replicate","parameter","estimate","posterior_sd","lower","median","upper","rhat","ess","censor_before_first","n12","n13","n23","converged"
500,90,"lambda023",0.112809508824977,0.0131953939779644,0.0882264571058543,0.112387972219191,0.139830156206776,1.00013290585796,8490.26661884976,0.412,179,115,72,TRUE
500,90,"gamma12",-0.464296826828735,0.0813643937316635,-0.622568403077318,-0.464975739951719,-0.303199197324359,1.00007163277359,6708.1938770727,0.412,179,115,72,TRUE
500,90,"gamma13",0.926978556149292,0.110048386512083,0.711678222724883,0.927908596899954,1.14022380882111,1.00031773896506,4258.83670864047,0.412,179,115,72,TRUE
500,90,"gamma23",0.515903501648117,0.128116996666485,0.266878161795417,0.516118626635836,0.768642075757292,1.00020908596801,8662.46332495163,0.412,179,115,72,TRUE
500,91,"lambda012",0.0764165739948648,0.00616768006435155,0.0648393033034757,0.0762261334253758,0.0887560994476904,1.00001970876782,7835.90940731269,0.428,171,115,76,TRUE
500,91,"lambda013",0.0455753819969522,0.00490743707579001,0.036487561776149,0.0453997068855565,0.0560871918029982,1.00036305368489,5293.44056169527,0.428,171,115,76,TRUE
500,91,"lambda023",0.109835481511013,0.0126632187387969,0.086371784367453,0.10942989399723,0.135859407923021,1.00045686660786,8927.19907806185,0.428,171,115,76,TRUE
500,91,"gamma12",-0.465551595067615,0.0831837277698397,-0.625449860319116,-0.46568084668458,-0.300348206383937,1.00016454513219,7558.82426525023,0.428,171,115,76,TRUE
500,91,"gamma13",0.575407965202483,0.10286268773658,0.373898905318934,0.575324157189714,0.775223565015505,1.00022812083666,5524.13459483234,0.428,171,115,76,TRUE
500,91,"gamma23",0.518107107779573,0.143308428234626,0.24190500938923,0.516317951508909,0.795801113034102,1.00018228289133,8634.66580176318,0.428,171,115,76,TRUE
500,92,"lambda012",0.0811402094297743,0.00619782919214191,0.0693867924271743,0.0809767960126222,0.0938971013016816,1.00023716755481,7336.85256372751,0.368,193,123,93,TRUE
500,92,"lambda013",0.0440271466383201,0.00474148178136014,0.0354139397573668,0.0438504459850034,0.0538414465789994,1.0010939254334,4846.19506162546,0.368,193,123,93,TRUE
500,92,"lambda023",0.125205038959466,0.0128366570359989,0.101635773348696,0.124810890230407,0.151523297377145,1.00034081026348,9038.57283735299,0.368,193,123,93,TRUE
500,92,"gamma12",-0.443869218252692,0.0802130736075099,-0.599470544073135,-0.443438526763041,-0.28816806647563,1.00067765578957,7222.92988380597,0.368,193,123,93,TRUE
500,92,"gamma13",0.760764944768473,0.0931491712534659,0.576588332910608,0.761177350922474,0.942051494714515,1.00069681052725,4888.87076938217,0.368,193,123,93,TRUE
500,92,"gamma23",0.621857341155214,0.118628313196506,0.389897964525135,0.622311760365634,0.852953526597594,1.00005159447036,9027.58665279839,0.368,193,123,93,TRUE
500,93,"lambda012",0.0725610205062488,0.00609775760092356,0.0610498437983837,0.0724039576086353,0.085002942360742,1.0001672468729,6178.80333907306,0.412,179,115,71,TRUE
500,93,"lambda013",0.0393905924883403,0.00466422791875478,0.0307827200581572,0.0392340156622223,0.0488808043634382,1.00113606468656,3969.18989631392,0.412,179,115,71,TRUE
500,93,"lambda023",0.0928334254530432,0.0116043336228347,0.0714920555847971,0.0923073728106931,0.11667837545934,1.00093692283786,7331.63887219698,0.412,179,115,71,TRUE
500,93,"gamma12",-0.512666708484768,0.073764383164242,-0.657658488406694,-0.512629047488213,-0.367185501809014,1.0002667938232,6465.40326818946,0.412,179,115,71,TRUE
500,93,"gamma13",0.915276178609586,0.110308774694177,0.698126415955566,0.915272257884978,1.13177696877087,1.00076865132581,4090.63856544333,0.412,179,115,71,TRUE
500,93,"gamma23",0.249109617889232,0.130527106471006,-0.00229079189178575,0.2486196299457,0.502857460643863,1.00033985546278,7409.95419995127,0.412,179,115,71,TRUE
500,94,"lambda012",0.0855004017772007,0.00650053172620739,0.0730667227078061,0.0853875884187698,0.0987206165934234,1.00080100443519,7674.14851823635,0.37,189,126,82,TRUE
500,94,"lambda013",0.0476667621463278,0.00518361780964246,0.037946480384956,0.0475250971687096,0.0584822216021746,1.00133790575443,4647.74210941947,0.37,189,126,82,TRUE
500,94,"lambda023",0.112172736379344,0.0122917269248509,0.0892343498704151,0.111789411722236,0.137433516501683,1.0002848181759,8890.02892452654,0.37,189,126,82,TRUE
500,94,"gamma12",-0.360305861477508,0.0754617259007264,-0.50553868065331,-0.361016199910663,-0.209771007645375,0.99994396975128,7306.27868173288,0.37,189,126,82,TRUE
500,94,"gamma13",0.718654156501583,0.0955546661168462,0.534019346361495,0.71837580635399,0.905934347857983,1.00140618732051,4814.95272719425,0.37,189,126,82,TRUE
500,94,"gamma23",0.428639158511827,0.123557539772718,0.187828913403016,0.427790663075978,0.672928723667151,1.00002705277912,8909.69543643178,0.37,189,126,82,TRUE
500,95,"lambda012",0.0776057402501031,0.00620788910538601,0.0657144902767335,0.0775407739845646,0.0903365363053652,1.00110356058239,6487.48868538039,0.372,189,125,84,TRUE
500,95,"lambda013",0.0413401449660376,0.00472561914744303,0.032609521960136,0.0411381916343328,0.0511042463231475,1.00028024700789,4221.36955539988,0.372,189,125,84,TRUE
500,95,"lambda023",0.101507068944449,0.011225329391726,0.080848275521264,0.101052296152327,0.124940457126182,1.0007041192901,8515.63022828059,0.372,189,125,84,TRUE
500,95,"gamma12",-0.531292785245182,0.0776198933063885,-0.682217761866107,-0.531346934300013,-0.379516072798049,1.00100938324089,6549.60681029646,0.372,189,125,84,TRUE
500,95,"gamma13",0.833147090986616,0.0955814880056785,0.648142237336673,0.832202334776866,1.01971688178516,1.00008557905877,3995.5871137264,0.372,189,125,84,TRUE
500,95,"gamma23",0.338827298117105,0.114852191130858,0.110379481812804,0.33860534841823,0.562756148755013,0.999987722459077,8725.7644644073,0.372,189,125,84,TRUE
500,96,"lambda012",0.0943041353070832,0.00694689294561869,0.0811936485062651,0.094118363877997,0.108539669831267,1.00018859267751,6771.41134496252,0.326,223,114,106,TRUE
500,96,"lambda013",0.0401034641459774,0.00475388928831014,0.0313944051789248,0.0398778490498772,0.0500791453094378,1.00060080916177,3985.66224923952,0.326,223,114,106,TRUE
500,96,"lambda023",0.127609237994169,0.0125416164263631,0.104106595937303,0.127103869216457,0.15365713670096,1.00117194410701,8205.98262903942,0.326,223,114,106,TRUE
